127.0.0.1 - - [17/Oct/2019:19:55:19 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/index.jsp HTTP/1.1" 200 20968
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/css/style.css HTTP/1.1" 200 49471
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/css/bootstrap.min.css HTTP/1.1" 200 144904
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/css/fontawesome-all.min.css HTTP/1.1" 200 34734
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/css1/font-awesome.css HTTP/1.1" 200 29062
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/js/responsiveslides.min.js HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:22 +0530] "GET /Inventory/images/3.jpg HTTP/1.1" 200 415194
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:23 +0530] "GET /Inventory/images/1.jpg HTTP/1.1" 200 202044
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:23 +0530] "GET /Inventory/images/2.jpg HTTP/1.1" 200 209471
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:23 +0530] "GET /Inventory/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:23 +0530] "GET /Inventory/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 12220
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:23 +0530] "GET /Inventory/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 38784
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:23 +0530] "GET /Inventory/images/5.jpg HTTP/1.1" 200 528041
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:23 +0530] "GET /Inventory/images/4.jpg HTTP/1.1" 200 600601
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:23 +0530] "GET /Inventory/images/arrow.png HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:55:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:51 +0530] "GET /Inventory/hodlogreg.jsp HTTP/1.1" 200 20331
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:51 +0530] "GET /Inventory/js/easyResponsiveTabs.js HTTP/1.1" 200 5697
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:51 +0530] "GET /Inventory/imgages/bann.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:51 +0530] "GET /Inventory/images/into.png HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:57 +0530] "GET /Inventory/stafflogreg.jsp HTTP/1.1" 200 20544
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:57 +0530] "GET /Inventory/imgages/bann.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:59 +0530] "GET /Inventory/about.jsp HTTP/1.1" 200 21966
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:59 +0530] "GET /Inventory/images/i1.jpg HTTP/1.1" 200 128068
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:59 +0530] "GET /Inventory/images/i2.jpg HTTP/1.1" 200 77180
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:59 +0530] "GET /Inventory/images/t1.jpg HTTP/1.1" 200 149120
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:59 +0530] "GET /Inventory/images/t3.jpg HTTP/1.1" 200 72349
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:59 +0530] "GET /Inventory/images/t4.jpg HTTP/1.1" 200 117415
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:59 +0530] "GET /Inventory/images/t2.jpg HTTP/1.1" 200 99536
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:56:59 +0530] "GET /Inventory/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 54420
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:57:35 +0530] "GET /Inventory/index.jsp HTTP/1.1" 200 20968
0:0:0:0:0:0:0:1 - - [17/Oct/2019:20:07:25 +0530] "GET /Inventory/index.jsp HTTP/1.1" 200 20968
